127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.087000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.110000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.050000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.056000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.068000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/css/web2py-codemirror.css, HTTP/1.1, 200, 0.068000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.081000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.548000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.097000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.106000
127.0.0.1, 2015-09-19 13:17:05, GET, /admin/static/_2.9.11/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.118000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.184000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.202000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.137000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.143000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.150000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.184000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.060000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.063000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.068000
127.0.0.1, 2015-09-19 13:17:06, GET, /admin/static/_2.9.11/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-09-19 13:17:07, GET, /admin/static/_2.9.11/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.177000
127.0.0.1, 2015-09-19 13:17:07, GET, /admin/static/_2.9.11/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.200000
127.0.0.1, 2015-09-19 13:17:07, GET, /admin/static/_2.9.11/js/typeahead.min.js, HTTP/1.1, 200, 0.502000
127.0.0.1, 2015-09-19 13:17:07, GET, /admin/static/_2.9.11/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.541000
127.0.0.1, 2015-09-19 13:17:07, GET, /admin/static/_2.9.11/js/ajax_editor.js, HTTP/1.1, 200, 0.637000
127.0.0.1, 2015-09-19 13:17:07, GET, /admin/static/_2.9.11/codemirror/emmet.min.js, HTTP/1.1, 200, 0.726000
127.0.0.1, 2015-09-19 13:17:08, GET, /admin/static/_2.9.11/images/files_toggle.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-19 13:17:08, GET, /admin/static/_2.9.11/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.037000
127.0.0.1, 2015-09-19 13:17:09, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.124000
127.0.0.1, 2015-09-19 13:17:09, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.174000
127.0.0.1, 2015-09-19 13:17:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-09-19 13:17:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.288000
127.0.0.1, 2015-09-19 13:17:09, GET, /admin/default/edit/oauth/views/spotify/index.html, HTTP/1.1, 200, 0.354000
127.0.0.1, 2015-09-19 13:17:09, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.133000
127.0.0.1, 2015-09-19 13:17:09, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-09-19 13:17:53, POST, /admin/default/edit/oauth/views/spotify/index.html, HTTP/1.1, 200, 0.053000
192.168.3.207, 2015-09-19 13:18:02, GET, /oauth/api/buildUrlToInitiateAuthorization, HTTP/1.1, 200, 0.324000
127.0.0.1, 2015-09-19 13:18:03, GET, /oauth, HTTP/1.1, 200, 0.626000
192.168.3.207, 2015-09-19 13:18:06, GET, /oauth/api/postToTokenEndpointAuthorizationCode, HTTP/1.1, 200, 0.681000
127.0.0.1, 2015-09-19 13:18:06, GET, /oauth, HTTP/1.1, 303, 1.080000
192.168.3.207, 2015-09-19 13:18:07, GET, /oauth/api/getConfigValue, HTTP/1.1, 200, 0.257000
192.168.3.207, 2015-09-19 13:18:08, POST, /oauth/api/sendGetToUrl, HTTP/1.1, 200, 0.910000
127.0.0.1, 2015-09-19 13:18:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042000
192.168.3.207, 2015-09-19 13:18:09, POST, /oauth/api/sendGetToUrl, HTTP/1.1, 200, 1.023000
